filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality 
Minneapolis_11022021_ParkBoardAtLarge.csv,0,1,B,7,3,0.596266913,0.547817812,50.34296913,38.59344967,35.05069159,34.39019334,25.04993781,0.48218847
Minneapolis_11022021_ParkBoardDistrict2.csv,0,1,B,3,3,0.829797134,0.806625721,67.43904709,64.4332775,62.81407035,,,0.641805124
Minneapolis_11022021_ParkBoardDistrict3.csv,0,1,B,3,3,0.903329824,0.903329824,72.38088971,44.30771256,40.2276915,,,0.780988993
Minneapolis_11022021_ParkBoardDistrict4.csv,0,1,B,2,3,1,1,74.77126222,56.59180703,,,,0.904336453
Minneapolis_11022021_ParkBoardDistrict5.csv,0,1,B,3,3,0.917492352,0.868590475,78.2384366,54.59568056,36.30884435,,,0.689333127
Minneapolis_11022021_ParkBoardDistrict6.csv,0,1,B,4,3,0.750388294,0.740292651,57.66369656,54.08321753,45.28733753,44.93174201,,0.594368113
Minneapolis_11052013_Mayor.csv,0,1,E,35,3,,0.514412054,62.51480259,51.45758271,42.02927763,22.49615763,18.82133589,0.036211293
Minneapolis_11052013_PRBoardDistrict2.csv,0,1,B,2,3,1,1,85.1445663,59.75407112,,,,0.858325065
Minneapolis_11052013_PRBoardDistrict6.csv,0,1,B,2,3,1,1,82.65090139,63.3676374,,,,0.881611157
Minneapolis_11052013_Ward5CityCouncil.csv,0,1,R,4,3,0.72766323,0.73024055,78.35051546,63.1443299,58.04696449,23.59679267,,0.574087097
Minneapolis_11052013_Ward9CityCouncil.csv,0,1,R,6,3,0.677791116,0.609843938,73.54141657,63.21728691,30.32412965,26.53061224,24.75390156,0.280486769
Minneapolis_11052013_Ward13CityCouncil.csv,0,1,R,5,3,0.817503587,0.531516021,79.79913917,77.88617886,60.81300813,16.65231946,8.225729316,0.811468987
Minneapolis_11062009_Mayor.csv,0,1,E,11,3,,0.813208761,82.04877832,21.61514392,21.45092208,21.32442689,7.756152771,0.334072329
Minneapolis_11062009_PRBoardDistrict1.csv,0,1,B,3,3,0.937403267,0.903009458,85.03869304,39.6044712,31.88306105,,,0.840132145
Minneapolis_11062009_PRBoardDistrict2.csv,0,1,B,2,3,1,1,73.23332017,61.64626925,,,,0.895182525
Minneapolis_11062009_PRBoardDistrict3.csv,0,1,B,2,3,1,1,83.60655738,42.26101767,,,,0.9477802
Minneapolis_11062009_PRBoardDistrict5.csv,0,1,B,5,3,0.762794268,0.830348004,61.82190379,55.4247697,46.43039918,15.77533265,8.303480041,0.442051125
Minneapolis_11062009_PRBoardDistrict6.csv,0,1,B,4,3,0.851339983,0.844610023,63.9706766,63.38180507,31.21019108,15.97163802,,0.166514855
Minneapolis_11062009_Ward1CityCouncil.csv,0,1,R,5,3,0.812247984,0.783014113,70.3125,47.25302419,47.02620968,17.3891129,16.6078629,0.455099307
Minneapolis_11062009_Ward2CityCouncil.csv,0,1,R,2,3,1,1,89.01345291,27.31689088,,,,0.937428135
Minneapolis_11062009_Ward3CityCouncil.csv,0,1,R,4,3,0.901781635,0.883965281,80.72179077,47.73869347,18.2731841,15.21242577,,0.256178487
Minneapolis_11062009_Ward4CityCouncil.csv,0,1,R,4,3,0.764563107,0.743021845,66.80825243,55.82524272,40.74635922,31.06796117,,0.704064642
Minneapolis_11062009_Ward5CityCouncil.csv,0,1,R,5,3,0.744110855,0.707621247,64.01847575,58.66050808,48.54503464,23.41801386,11.40877598,0.197419865
Minneapolis_11062009_Ward6CityCouncil.csv,0,1,R,6,3,0.635373444,0.622925311,68.10165975,38.0186722,33.14315353,31.69087137,22.25103734,0.235295016
Minneapolis_11062009_Ward7CityCouncil.csv,0,1,R,3,3,0.932997942,0.885204665,77.38394695,41.1845415,31.35147496,,,0.906973048
Minneapolis_11062009_Ward8CityCouncil.csv,0,1,R,5,3,0.883284837,0.8066602,88.16682832,52.21467831,22.79340446,16.42418364,9.279017135,0.881463337
Minneapolis_11062009_Ward9CityCouncil.csv,0,1,R,4,3,0.869361844,0.814567324,80.92215169,61.64383562,29.36852656,22.65285667,,0.446258207
Minneapolis_11062009_Ward10CityCouncil.csv,0,1,R,4,3,0.805655836,0.881167268,85.46931408,39.2599278,32.22021661,26.98555957,,0.277693077
Minneapolis_11062009_Ward11CityCouncil.csv,0,1,R,3,3,0.972229172,0.943457593,81.48611459,55.46659995,27.42056542,,,0.828501839
Minneapolis_11062009_Ward12CityCouncil.csv,0,1,R,4,3,0.855656973,0.836765018,77.86032689,45.48928041,35.95839525,15.62300998,,0.693726912
Minneapolis_11062009_Ward13CityCouncil.csv,0,1,R,3,3,0.928404149,0.928404149,79.00635664,43.91100703,35.0284376,,,0.565115049
Minneapolis_11072017_Mayor.csv,0,1,E,18,3,,0.586470053,52.44314645,47.78187389,45.01077225,42.22243501,42.08550773,0.140258756
Minneapolis_11072017_PRBoardDistrict1.csv,0,1,B,3,3,0.877442024,0.877442024,74.95432186,73.20449754,55.55867885,,,0.597423978
Minneapolis_11072017_PRBoardDistrict2.csv,0,1,B,2,3,1,1,78.91654466,72.4180651,,,,0.842875292
Minneapolis_11072017_PRBoardDistrict3.csv,0,1,B,3,3,0.932816892,0.932816892,70.26119147,66.07938575,41.29704531,,,0.477572371
Minneapolis_11072017_PRBoardDistrict4.csv,0,1,B,2,3,1,1,73.5716946,71.37430168,,,,0.858862292
Minneapolis_11072017_PRBoardDistrict5.csv,0,1,B,3,3,0.885457921,0.885457921,81.5779703,62.13490099,54.16460396,,,0.321602574
Minneapolis_11072017_PRBoardDistrict6.csv,0,1,B,4,3,0.821720978,0.867320935,65.96540693,62.82058233,35.82931193,19.05329935,,0.453954328
Minneapolis_11072017_Ward1CityCouncil.csv,0,1,R,3,3,0.891907382,0.835969739,82.0609812,76.89133425,50.77945896,,,0.46895736
Minneapolis_11072017_Ward3CityCouncil.csv,0,1,R,4,3,0.669104587,0.746421482,72.32264131,57.42346672,54.46661791,47.84244071,,0.576624549
Minneapolis_11072017_Ward4CityCouncil.csv,0,1,R,4,3,0.802548982,0.722084839,69.4502568,66.44474035,58.87388244,21.70439414,,0.539001153
Minneapolis_11072017_Ward5CityCouncil.csv,0,1,R,4,3,0.749109052,0.660489427,74.74459492,67.07056308,51.60370634,31.62271323,,0.390349529
Minneapolis_11072017_Ward6CityCouncil.csv,0,1,R,4,3,0.979348579,0.943728344,68.12196812,59.47331947,14.10949411,0.152460152,,0.416927212
Minneapolis_11072017_Ward7CityCouncil.csv,0,1,R,4,3,0.834617926,0.689715922,79.71812376,65.58026866,50.62761506,16.14181898,,0.516187491
Minneapolis_11072017_Ward8CityCouncil.csv,0,1,R,4,3,0.896525488,0.724194776,90.02028912,54.97083439,54.65381689,14.21506467,,0.799774599
Minneapolis_11072017_Ward9CityCouncil.csv,0,1,R,4,3,0.791432202,0.688509711,72.78998003,69.06879651,66.23706662,10.03811944,,0.604277938
Minneapolis_11072017_Ward10CityCouncil.csv,0,1,R,4,3,0.829091389,0.802057233,83.14651193,64.30172755,59.76526441,11.71040485,,0.828388219
Minneapolis_11072017_Ward11CityCouncil.csv,0,1,R,3,3,0.814867528,0.814867528,79.13291001,76.49441647,72.60783884,,,0.542188899
Minneapolis_11072017_Ward12CityCouncil.csv,0,1,R,3,3,0.953829494,0.85499114,94.41819256,37.32033865,32.42764324,,,0.879871036
Minneapolis_11072017_Ward13CityCouncil.csv,0,1,R,2,3,1,1,88.51033626,35.79096797,,,,0.974957566
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,0,1,R,5,3,0.789468805,0.694168907,69.16658941,38.97283767,36.6274219,35.41299713,31.03735978,0.620872396
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,0,1,R,5,3,0.781483668,0.819657615,55.51948052,41.61747344,39.07910272,39.06926407,36.9244392,0.742085392
Minnetonka_11022021_Mayor.csv,0,1,E,2,3,1,1,73.07971672,50.69911022,,,,0.931132636
NewYorkCity_06222021_CONCouncilMember19thCouncilDistrict.csv,,1,R,2,3,1,1,94.95798319,40.33613445,,,,0.95537686
NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,DP,1,E,5,5,0.572770415,0.594135833,71.65291535,66.680779,55.9458874,50.66853081,38.12988599,0.560722191
NewYorkCity_06222021_DEMBoroughPresidentKings.csv,DP,1,E,12,5,,0.482624229,46.12336141,46.0476944,37.92230138,25.96242217,25.73300256,0.306647211
NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,DP,1,E,7,5,0.522221848,0.588079325,59.02047104,52.05678356,37.9446474,37.3731082,36.49475598,0.257478424
NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,DP,1,E,3,4,0.870628046,0.870628046,72.69730106,71.62888561,53.71820863,,,0.472807399
NewYorkCity_06222021_DEMBoroughPresidentRichmond.csv,DP,1,E,5,5,0.558555052,0.575502406,76.16756298,59.25559015,50.29719785,45.97367676,43.92867252,0.504962473
NewYorkCity_06222021_DEMComptrollerCitywide.csv,DP,1,O,10,5,,0.507020719,52.66598509,49.16379989,35.26949982,29.15555648,24.8702468,0.216648495
NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,DP,1,R,9,5,,0.436833188,60.06685288,50.05265809,46.4398553,36.92018865,29.19547598,0.551026011
