precinct,rank1,rank2,rank3
01-03,Mary Merrill Anderson,John Butler,Nancy Bernard
01-09,Mary Merrill Anderson,John Butler,Nancy Bernard
01-10,Mary Merrill Anderson,John Butler,Nancy Bernard
03-07,Mary Merrill Anderson,John Butler,Nancy Bernard
03-08,Mary Merrill Anderson,John Butler,Nancy Bernard
04-03,Mary Merrill Anderson,John Butler,Nancy Bernard
04-04,Mary Merrill Anderson,John Butler,Nancy Bernard
04-04,Mary Merrill Anderson,John Butler,Nancy Bernard
04-07,Mary Merrill Anderson,John Butler,Nancy Bernard
07-08,Mary Merrill Anderson,John Butler,Nancy Bernard
08-03,Mary Merrill Anderson,John Butler,Nancy Bernard
09-06,Mary Merrill Anderson,John Butler,Nancy Bernard
12-01,Mary Merrill Anderson,John Butler,Nancy Bernard
12-08,Mary Merrill Anderson,John Butler,Nancy Bernard
12-08,Mary Merrill Anderson,John Butler,Nancy Bernard
12-10,Mary Merrill Anderson,John Butler,Nancy Bernard
13-02,Mary Merrill Anderson,John Butler,Nancy Bernard
13-04,Mary Merrill Anderson,John Butler,Nancy Bernard
13-10,Mary Merrill Anderson,John Butler,Nancy Bernard
01-06,Mary Merrill Anderson,John Butler,John Erwin
02-06,Mary Merrill Anderson,John Butler,John Erwin
02-10,Mary Merrill Anderson,John Butler,John Erwin
04-03,Mary Merrill Anderson,John Butler,John Erwin
04-04,Mary Merrill Anderson,John Butler,John Erwin
04-10,Mary Merrill Anderson,John Butler,John Erwin
05-04,Mary Merrill Anderson,John Butler,John Erwin
05-05,Mary Merrill Anderson,John Butler,John Erwin
06-02,Mary Merrill Anderson,John Butler,John Erwin
07-10,Mary Merrill Anderson,John Butler,John Erwin
10-05,Mary Merrill Anderson,John Butler,John Erwin
12-11,Mary Merrill Anderson,John Butler,John Erwin
01-06,Mary Merrill Anderson,John Butler,Bob Fine
03-08,Mary Merrill Anderson,John Butler,Bob Fine
04-01,Mary Merrill Anderson,John Butler,Bob Fine
04-03,Mary Merrill Anderson,John Butler,Bob Fine
04-04,Mary Merrill Anderson,John Butler,Bob Fine
05-05,Mary Merrill Anderson,John Butler,Bob Fine
06-02,Mary Merrill Anderson,John Butler,Bob Fine
06-03,Mary Merrill Anderson,John Butler,Bob Fine
07-06,Mary Merrill Anderson,John Butler,Bob Fine
08-05,Mary Merrill Anderson,John Butler,Bob Fine
08-10,Mary Merrill Anderson,John Butler,Bob Fine
09-08,Mary Merrill Anderson,John Butler,Bob Fine
11-07,Mary Merrill Anderson,John Butler,Bob Fine
11-09,Mary Merrill Anderson,John Butler,Bob Fine
13-08,Mary Merrill Anderson,John Butler,Bob Fine
01-03,Mary Merrill Anderson,John Butler,Tom Nordyke
02-03,Mary Merrill Anderson,John Butler,Tom Nordyke
02-06,Mary Merrill Anderson,John Butler,Tom Nordyke
02-11,Mary Merrill Anderson,John Butler,Tom Nordyke
04-04,Mary Merrill Anderson,John Butler,Tom Nordyke
04-06,Mary Merrill Anderson,John Butler,Tom Nordyke
07-08,Mary Merrill Anderson,John Butler,Tom Nordyke
08-02,Mary Merrill Anderson,John Butler,Tom Nordyke
08-05,Mary Merrill Anderson,John Butler,Tom Nordyke
11-05,Mary Merrill Anderson,John Butler,Tom Nordyke
13-06,Mary Merrill Anderson,John Butler,Tom Nordyke
04-01,Mary Merrill Anderson,John Butler,David Wahstedt
04-03,Mary Merrill Anderson,John Butler,David Wahstedt
04-04,Mary Merrill Anderson,John Butler,David Wahstedt
04-07,Mary Merrill Anderson,John Butler,David Wahstedt
04-09,Mary Merrill Anderson,John Butler,David Wahstedt
05-01,Mary Merrill Anderson,John Butler,David Wahstedt
05-01,Mary Merrill Anderson,John Butler,David Wahstedt
05-03,Mary Merrill Anderson,John Butler,David Wahstedt
05-05,Mary Merrill Anderson,John Butler,David Wahstedt
05-06,Mary Merrill Anderson,John Butler,David Wahstedt
07-06,Mary Merrill Anderson,John Butler,David Wahstedt
09-04,Mary Merrill Anderson,John Butler,David Wahstedt
12-09,Mary Merrill Anderson,John Butler,David Wahstedt
13-08,Mary Merrill Anderson,John Butler,David Wahstedt
01-09,Mary Merrill Anderson,John Butler,skipped
03-07,Mary Merrill Anderson,John Butler,skipped
05-04,Mary Merrill Anderson,John Butler,skipped
05-05,Mary Merrill Anderson,John Butler,skipped
05-10,Mary Merrill Anderson,John Butler,skipped
07-09,Mary Merrill Anderson,John Butler,skipped
08-02,Mary Merrill Anderson,John Butler,skipped
08-06,Mary Merrill Anderson,John Butler,skipped
11-07,Mary Merrill Anderson,John Butler,skipped
11-07,Mary Merrill Anderson,John Butler,skipped
01-10,Mary Merrill Anderson,John Butler,Annie Young
02-02,Mary Merrill Anderson,John Butler,Annie Young
02-05,Mary Merrill Anderson,John Butler,Annie Young
03-02,Mary Merrill Anderson,John Butler,Annie Young
03-06,Mary Merrill Anderson,John Butler,Annie Young
04-01,Mary Merrill Anderson,John Butler,Annie Young
04-02,Mary Merrill Anderson,John Butler,Annie Young
04-02,Mary Merrill Anderson,John Butler,Annie Young
04-08,Mary Merrill Anderson,John Butler,Annie Young
04-10,Mary Merrill Anderson,John Butler,Annie Young
05-01,Mary Merrill Anderson,John Butler,Annie Young
05-04,Mary Merrill Anderson,John Butler,Annie Young
05-04,Mary Merrill Anderson,John Butler,Annie Young
05-07,Mary Merrill Anderson,John Butler,Annie Young
06-04,Mary Merrill Anderson,John Butler,Annie Young
06-04,Mary Merrill Anderson,John Butler,Annie Young
07-04,Mary Merrill Anderson,John Butler,Annie Young
07-11,Mary Merrill Anderson,John Butler,Annie Young
07-11,Mary Merrill Anderson,John Butler,Annie Young
08-05,Mary Merrill Anderson,John Butler,Annie Young
08-10,Mary Merrill Anderson,John Butler,Annie Young
11-01,Mary Merrill Anderson,John Butler,Annie Young
11-02,Mary Merrill Anderson,John Butler,Annie Young
11-07,Mary Merrill Anderson,John Butler,Annie Young
11-07,Mary Merrill Anderson,John Butler,Annie Young
12-01,Mary Merrill Anderson,John Butler,Annie Young
12-03,Mary Merrill Anderson,John Butler,Annie Young
02-03,Mary Merrill Anderson,John Erwin,Nancy Bernard
03-09,Mary Merrill Anderson,John Erwin,Nancy Bernard
04-03,Mary Merrill Anderson,John Erwin,Nancy Bernard
04-06,Mary Merrill Anderson,John Erwin,Nancy Bernard
05-01,Mary Merrill Anderson,John Erwin,Nancy Bernard
05-04,Mary Merrill Anderson,John Erwin,Nancy Bernard
05-04,Mary Merrill Anderson,John Erwin,Nancy Bernard
05-05,Mary Merrill Anderson,John Erwin,Nancy Bernard
05-08,Mary Merrill Anderson,John Erwin,Nancy Bernard
06-08,Mary Merrill Anderson,John Erwin,Nancy Bernard
09-06,Mary Merrill Anderson,John Erwin,Nancy Bernard
09-07,Mary Merrill Anderson,John Erwin,Nancy Bernard
09-08,Mary Merrill Anderson,John Erwin,Nancy Bernard
01-06,Mary Merrill Anderson,John Erwin,John Butler
02-01,Mary Merrill Anderson,John Erwin,John Butler
03-06,Mary Merrill Anderson,John Erwin,John Butler
03-07,Mary Merrill Anderson,John Erwin,John Butler
03-09,Mary Merrill Anderson,John Erwin,John Butler
05-01,Mary Merrill Anderson,John Erwin,John Butler
05-03,Mary Merrill Anderson,John Erwin,John Butler
05-06,Mary Merrill Anderson,John Erwin,John Butler
05-06,Mary Merrill Anderson,John Erwin,John Butler
07-11,Mary Merrill Anderson,John Erwin,John Butler
08-07,Mary Merrill Anderson,John Erwin,John Butler
10-04,Mary Merrill Anderson,John Erwin,John Butler
01-03,Mary Merrill Anderson,John Erwin,Bob Fine
01-04,Mary Merrill Anderson,John Erwin,Bob Fine
01-09,Mary Merrill Anderson,John Erwin,Bob Fine
02-01,Mary Merrill Anderson,John Erwin,Bob Fine
02-02,Mary Merrill Anderson,John Erwin,Bob Fine
02-02,Mary Merrill Anderson,John Erwin,Bob Fine
02-03,Mary Merrill Anderson,John Erwin,Bob Fine
03-05,Mary Merrill Anderson,John Erwin,Bob Fine
03-07,Mary Merrill Anderson,John Erwin,Bob Fine
04-02,Mary Merrill Anderson,John Erwin,Bob Fine
04-04,Mary Merrill Anderson,John Erwin,Bob Fine
04-04,Mary Merrill Anderson,John Erwin,Bob Fine
04-06,Mary Merrill Anderson,John Erwin,Bob Fine
