filename,diff,gamma,#candidates,level,partisan,type,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Burlington_03032009_Mayor.csv,[],0.651282051,5,LOCAL,YES,E,Bob Kiss,Andy Montroll,Kurt Wright,,Andy Montroll,Kurt Wright,Andy Montroll,Andy Montroll,Bob Kiss
Burlington_03072006_Mayor.csv,"['IRV', 'Condorcet', 'Approval']",0.720744681,5,LOCAL,YES,E,Bob Kiss,Bob Kiss,Bob Kiss,,Hinda Miller,Bob Kiss,Hinda Miller,Bob Kiss,Hinda Miller
Burlington_03072023_CityCouncilCentralDistrict.csv,[],1,2,LOCAL,YES,R,MELO GRANT,MELO GRANT,MELO GRANT,,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT,MELO GRANT
Burlington_03072023_CityCouncilEastDistrict.csv,[],1,2,LOCAL,YES,R,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR",,"TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR","TIMOTHY C. DOHERTY,JR"
Burlington_03072023_CityCouncilSouthDistrict.csv,[],0.881618084,3,LOCAL,YES,R,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON,JOAN SHANNON
Corvallis_11082022_CityCouncilWard9.csv,[],0.845995045,3,LOCAL,NO,R,Tony Cadena,Tony Cadena,Tony Cadena,,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena,Tony Cadena
Corvallis_11082022_Mayor.csv,"['IRV', 'Condorcet', 'Plurality']",0.806260616,3,LOCAL,NO,E,Charles Maughan,Charles Maughan,Charles Maughan,,Andrew Struthers,Andrew Struthers,Andrew Struthers,Andrew Struthers,Andrew Struthers
Easthampton_11022021_Mayor.csv,[],0.860262009,66,LOCAL,YES,E,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE,NICOLE M. LACHAPELLE
Eastpointe_11052019_CityCouncil.csv,[],0.699920032,4,LOCAL,NO,R,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
ElkRidge_11022021_Mayor.csv,[],0.90145149,3,LOCAL,NO,E,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK,ROBERT HADDOCK
Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,[],0.853185216,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden
Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,[],0.86144785,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden
