filename,diff,gamma,#candidates,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Minneapolis_11072017_PRBoardDistrict6.csv,"['IRV', 'Condorcet', 'Plurality']",0.821720978,4,Brad Bourn,Brad Bourn,Brad Bourn,,Bob Fine,Bob Fine,Bob Fine,Bob Fine,Bob Fine
Minneapolis_11072017_Ward10CityCouncil.csv,[],0.794672293,4,Lisa Bender,Lisa Bender,Lisa Bender,,Lisa Bender,Lisa Bender,Lisa Bender,Lisa Bender,Lisa Bender
Minneapolis_11072017_Ward3CityCouncil.csv,"['IRV', 'Condorcet']",0.669104587,4,Steve Fletcher,Steve Fletcher,Ginger Jentzen,,Ginger Jentzen,Ginger Jentzen,Steve Fletcher,Steve Fletcher,Ginger Jentzen
Minneapolis_11072017_Ward4CityCouncil.csv,['Plurality'],0.802548982,4,Phillipe M. Cunningham,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham
Minneapolis_11072017_Ward5CityCouncil.csv,[],0.739130435,4,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison,Jeremiah Ellison
Minneapolis_11072017_Ward6CityCouncil.csv,[],0.979071379,4,Abdi Warsame,Abdi Warsame,Abdi Warsame,,Abdi Warsame,Abdi Warsame,Abdi Warsame,Abdi Warsame,Abdi Warsame
Minneapolis_11072017_Ward7CityCouncil.csv,[],0.731006386,4,Lisa Goodman,Lisa Goodman,Lisa Goodman,,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman
Minneapolis_11072017_Ward8CityCouncil.csv,[],0.581283287,4,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins,Andrea Jenkins
Minneapolis_11072017_Ward9CityCouncil.csv,"['Condorcet', 'Approval']",0.709021601,4,Alondra Cano,Alondra Cano,Alondra Cano,,Mohamed Farah,Alondra Cano,Mohamed Farah,Alondra Cano,Alondra Cano
NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,[],0.7149916,4,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens
NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,[],0.689289976,4,James F. Gennaro,James F. Gennaro,James F. Gennaro,,James F. Gennaro,James F. Gennaro,James F. Gennaro,James F. Gennaro,James F. Gennaro
NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,[],0.708691674,4,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez
NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,[],0.649046461,4,Charles Barron,Charles Barron,Charles Barron,,Charles Barron,Charles Barron,Charles Barron,Charles Barron,Charles Barron
NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict.csv,[],0.656694091,4,Ari Kagan,Ari Kagan,Ari Kagan,,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan
NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict.csv,[],0.687307561,4,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala
NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.729641528,4,Vito Fossella,Vito Fossella,Vito Fossella,,Steven Matteo,Steven Matteo,Steven Matteo,Vito Fossella,Steven Matteo
Oakland_11032020_SchoolDirectorDist5OaklandRCV.csv,[],0.585704291,4,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON,MIKE HUTCHINSON
Oakland_11042014_SchoolDirectorDistrict4.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.635068154,4,NINA SENN,NINA SENN,NINA SENN,,KARL DEBRO,KARL DEBRO,KARL DEBRO,NINA SENN,KARL DEBRO
Oakland_11062012_CityCouncilDistrict5.csv,[],0.676801702,4,NOEL GALLO,NOEL GALLO,NOEL GALLO,,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO,NOEL GALLO
