filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance
SanFrancisco_11022004_BoardofSupervisorsDistrict2.csv,NO,LOCAL,B,5,3,0.663622129,0.682092322,76.82672234,45.89422408,42.69601021,29.67408954,26.82092322,0.707472088,4.936333695,0.682850966,0.999937496,0.288188609,0.704704705
SanFrancisco_11022004_BoardofSupervisorsDistrict3.csv,NO,LOCAL,B,4,3,0.69955607,0.59463424,79.65257672,60.07334491,47.85562633,46.34240494,,0.629536458,4.008470024,0.689574209,0.999907936,0.501939579,0.780780781
SanFrancisco_11022004_BoardofSupervisorsDistrict5.csv,NO,LOCAL,B,22,3,,0.434390042,46.97655872,39.20077473,35.52935145,22.66085619,16.57694608,0.091716759,8.309656487,0.068762068,0.999920717,0.232173332,0.693693694
SanFrancisco_11022004_BoardofSupervisorsDistrict7.csv,NO,LOCAL,B,13,3,,0.510730428,52.69129871,46.79035368,26.34090837,21.95707829,20.98991751,0.155187875,6.66440404,0.356444903,0.99991964,0.648097287,2.39039039
SanFrancisco_11022004_BoardofSupervisorsDistrict9.csv,NO,LOCAL,B,6,3,0.679296891,0.662925868,75.82559028,66.7310245,53.36470778,27.85085073,13.11693013,0.43240935,6.753723529,0.576285787,0.999896992,0.884394497,1.381381381
SanFrancisco_11022004_BoardofSupervisorsDistrict11.csv,NO,LOCAL,B,8,3,,0.53085088,53.35692095,40.82671729,40.82240249,35.86900242,27.99879185,0.152660279,3.747796163,0.171818663,0.999894626,0.341549692,0.581581582
SanFrancisco_11022010_BoardofSupervisorsDistrict2.csv,NO,LOCAL,B,6,3,0.687290208,0.708424848,60.58182421,58.16584476,32.09978865,30.83171025,16.13277527,0.101710882,6.889233642,0.101710882,0.999922571,0.327950281,0.4004004
SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,NO,LOCAL,B,14,3,,0.589721829,56.70438472,48.34040547,35.76143329,17.26544083,13.69165488,0.489823813,5.826582709,0.486328142,0.999891434,0.917896222,1.197197197
SanFrancisco_11022010_BoardofSupervisorsDistrict8.csv,NO,LOCAL,B,4,3,0.773243344,0.665112821,71.09560443,66.14522264,63.07375525,20.21048417,,0.45567935,4.514539813,0.45567935,0.99992597,0.249929636,1.072072072
SanFrancisco_11022010_BoardofSupervisorsDistrict10.csv,NO,LOCAL,B,21,3,,0.418759724,25.70571238,24.18315181,23.0328962,22.53278506,21.22693932,0.123889738,6.445387628,0.099988784,0.999861227,0.467766587,3.023023023
