Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
91,91,Berkeley_11062018_CityCouncilDistrict8.csv,0,1.0,R,4,3,0.764077522,0.724248436,81.36731268,71.99755837,46.55882802,32.09217152,,0.4125804403107989
92,92,Berkeley_11082016_CityCouncilDistrict2.csv,0,1.0,R,3,3,0.830067189,0.830067189,76.37178052,74.13213886,73.46024636,,,0.5706349214165766
93,93,Berkeley_11082016_CityCouncilDistrict3.csv,0,1.0,R,4,3,0.782675839,0.654499509,82.83026815,63.48448687,54.76625018,25.22813421,,0.4264343257801747
94,94,Berkeley_11082016_CityCouncilDistrict5.csv,0,1.0,R,2,3,1.0,1.0,76.26555127,62.73058773,,,,0.904118976063044
95,95,Berkeley_11082016_CityCouncilDistrict6.csv,0,1.0,R,3,3,0.836436705,0.828131279,82.57200268,64.75552579,57.56195579,,,0.6482236800504937
96,96,Berkeley_11082016_Mayor.csv,0,1.0,E,8,3,,0.635330038,72.40937231,56.97609689,45.12407011,17.52838177,13.62325197,0.0823457810391651
97,97,Burlington_03032009_Mayor.csv,1,1.0,E,5,5,0.493979933,0.554849498,74.74916388,68.92976589,67.93756968,67.8483835,37.79264214,0.7181316252411969
98,98,Burlington_03072006_Mayor.csv,1,1.0,E,5,5,0.623363339,0.656914894,76.09451718,76.05360065,61.25204583,35.01432079,32.43657938,0.4907858425131717
99,99,Burlington_03072023_CityCouncilCentralDistrict.csv,1,1.0,R,2,3,1.0,1.0,81.37024871,71.6564993,,,,0.8747814868755248
100,100,Burlington_03072023_CityCouncilEastDistrict.csv,1,1.0,R,2,3,1.0,1.0,84.56568557,68.34170854,,,,0.8310052358289677
102,102,Burlington_03072023_CityCouncilSouthDistrict.csv,1,1.0,R,3,4,0.856632957,0.856632957,89.94646044,54.66983938,51.93337299,,,0.9026648939832902
103,103,Corvallis_11082022_CityCouncilWard9.csv,0,1.0,R,3,3,0.83195706,0.83195706,92.6507019,89.55408753,86.91164327,,,0.4622641345403361
104,104,Corvallis_11082022_Mayor.csv,0,1.0,E,3,3,0.788546469,0.788546469,92.3125455,90.90026693,89.49769473,,,0.6538344210615081
105,105,Easthampton_11022021_Mayor.csv,1,1.0,E,66,4,,0.6785541,78.86948083,35.58951965,32.04754973,22.07666181,0.12130034,0.4912694722958931
106,106,Eastpointe_11052019_CityCouncil.csv,0,1.0,R,4,4,0.593562575,0.6227509,83.34666134,77.04918033,67.93282687,61.29548181,,0.4376859498964166
107,107,ElkRidge_11022021_Mayor.csv,0,1.0,E,3,3,0.894576012,0.894576012,89.07563025,89.07563025,81.97097021,,,0.4744076587837348
108,108,Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,DP,3.0,E,11,3,,0.71617637,78.09092779,49.43427278,27.23719399,9.236782555,8.935061373,0.1763798141046916
109,109,Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,DP,3.0,E,11,3,,0.747941446,75.94064501,52.77904849,26.61539341,12.30272187,7.450823422,0.0128284643768567
110,110,Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,DP,3.0,E,11,3,,0.727553572,74.40298142,55.17089197,26.17074486,14.71093022,7.585936351,0.8224063083109374
111,111,Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3.0,E,5,5,0.69377258,0.604950367,92.99695875,62.81781751,62.22861769,34.41988311,27.41480075,0.7996287577261889
112,112,LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,0,1.0,R,4,4,0.632,0.655111111,74.04444444,66.8,60.97777778,48.48888889,,0.5512825881315779
113,113,LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,0,1.0,R,3,3,0.859615385,0.755769231,80.83333333,73.46153846,73.14102564,,,0.7475155718394925
